attribution_method,fallback_pattern,n,mean_edi,median_edi,percent_within_method
gradcam,baseline_only,46,0.5432130445655332,0.48720620261393516,1.1979166666666667
gradcam,both,2,0.4248715862368337,0.4248715862368337,0.052083333333333336
gradcam,condition_only,191,0.758969216612826,0.7178292096645291,4.973958333333333
gradcam,none,3601,0.532695899330423,0.4864818953658537,93.77604166666667
gradcampp,baseline_only,364,0.8013847814810023,0.7960945095752378,9.479166666666666
gradcampp,both,74,0.5591215078631636,0.5736458164752408,1.9270833333333335
gradcampp,condition_only,404,0.7617076253783349,0.7456678814250304,10.520833333333334
gradcampp,none,2998,0.7100208006426625,0.761429051100031,78.07291666666667
