cohort,replications,mean_difference,ci_low,ci_high,probability_gradcampp_higher
conventional_only,2000,0.17707746553565326,0.14987264660326904,0.20302658820515465,1.0
full,2000,0.17664067849764029,0.1515219128227372,0.2021040349404049,1.0
