comparison_id,anonymous_image_id,evaluation_configuration,preprocessing_condition,attribution_method,resolution,model_architecture,pearson_correlation,ssim,correlation_drift,structural_drift,edi_primary,cosine_similarity,spearman_correlation,mean_squared_error,mean_absolute_error,root_mean_squared_error,normalized_mean_squared_error,lpips_distance
cmp_00028,img_b81212402bea4a9d,APTOS,diffusion,eigencam,128,EfficientNetB0,0.9968852997,0.9975999743,0.00155735015000003,0.00240002569999997,0.001978687925,,,,,,,
cmp_00029,img_b9bce57aec8cb979,APTOS,diffusion,eigencam,128,EfficientNetB0,0.9997658134,0.9997158647,0.000117093299999982,0.000284135300000044,0.000200614300000013,,,,,,,
cmp_00030,img_ba9667ceda2b0a74,APTOS,diffusion,eigencam,128,EfficientNetB0,0.9993973374,0.9983519912,0.000301331299999985,0.00164800880000004,0.000974670050000015,,,,,,,
cmp_00031,img_c174cad9788cc50c,APTOS,diffusion,eigencam,128,EfficientNetB0,0.9949374199,0.9953319728,0.00253129005000002,0.00466802720000004,0.00359965862500003,,,,,,,
cmp_00032,img_cccfbe89a56c00a0,APTOS,diffusion,eigencam,128,EfficientNetB0,0.9929738641,0.9891232997,0.00351306795,0.0108767003,0.007194884125,,,,,,,
cmp_00033,img_cd7797408463b6be,APTOS,diffusion,eigencam,128,EfficientNetB0,0.9985200763,0.9973058701,0.000739961850000026,0.00269412989999995,0.00171704587499999,,,,,,,
cmp_00034,img_d494ef8e5e4b2ff8,APTOS,diffusion,eigencam,128,EfficientNetB0,0.9998737574,0.9998668432,6.31213000000241e-05,0.000133156800000034,9.8139050000029e-05,,,,,,,
cmp_00035,img_d6ac23d44b304cb7,APTOS,diffusion,eigencam,128,EfficientNetB0,0.9991061687,0.9991889298,0.00044691564999999,0.000811070200000041,0.000628992925000016,,,,,,,
cmp_00036,img_dea1e26519ce6b6e,APTOS,diffusion,eigencam,128,EfficientNetB0,0.9741528034,0.96826756,0.0129235983,0.03173244,0.02232801915,,,,,,,
cmp_00037,img_eda521ed44845cab,APTOS,diffusion,eigencam,128,EfficientNetB0,0.99287045,0.9905637503,0.00356477500000002,0.00943624970000001,0.00650051235000002,,,,,,,
cmp_00038,img_f925fc7211129710,APTOS,diffusion,eigencam,128,EfficientNetB0,0.9760859609,0.9799375236,0.01195701955,0.0200624764,0.016009747975,,,,,,,
cmp_00039,img_fa9cfa2017fc80a3,APTOS,diffusion,eigencam,128,EfficientNetB0,0.9955011606,0.9943831265,0.00224941969999998,0.00561687349999995,0.00393314659999996,,,,,,,
cmp_00040,img_fc1cfaf584bbe967,APTOS,diffusion,eigencam,128,EfficientNetB0,0.9998014569,0.999607563,9.92715500000019e-05,0.000392437000000023,0.000245854275000013,,,,,,,
cmp_00041,img_0b7e6c07d987d5f2,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9983014464,0.9975107312,0.000849276800000021,0.0024892688,0.00166927280000001,,,,,,,
cmp_00042,img_0de10ac78229bafc,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9997374415,0.9995985031,0.000131279250000005,0.00040149690000002,0.000266388075000012,,,,,,,
cmp_00043,img_1aef2747b432cc67,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9998263717,0.9997989535,8.6814150000003e-05,0.000201046499999968,0.000143930324999986,,,,,,,
cmp_00044,img_218af35941ead89a,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9968258142,0.9915628433,0.00158709289999998,0.0084371567,0.00501212479999999,,,,,,,
cmp_00045,img_2f9624df43972ad0,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9972854853,0.9967501163,0.00135725734999997,0.00324988370000001,0.00230357052499999,,,,,,,
cmp_00046,img_3387cb608afb9d53,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9987668395,0.9986035824,0.000616580249999998,0.00139641759999998,0.00100649892499999,,,,,,,
cmp_00047,img_3a4a3f5a9f92ac95,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9995091558,0.9989192486,0.000245422100000003,0.00108075139999997,0.000663086749999986,,,,,,,
cmp_00048,img_3f8584a4d36d82f6,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9989174008,0.9986069202,0.000541299599999989,0.00139307980000003,0.00096718970000001,,,,,,,
cmp_00049,img_46c7c4faf5268636,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9992430806,0.9987750053,0.0003784597,0.00122499470000004,0.000801727200000019,,,,,,,
cmp_00050,img_52bf77e1908d1435,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9755536318,0.9652805328,0.0122231841,0.0347194672,0.02347132565,,,,,,,
cmp_00051,img_63966711a69f9b1c,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9993504286,0.9993388057,0.000324785699999997,0.000661194300000001,0.000492989999999999,,,,,,,
cmp_00052,img_6752b7f65c4d8e5c,APTOS,diffusion,eigencam,160,EfficientNetB0,0.995179832,0.9927905202,0.00241008399999998,0.00720947979999997,0.00480978189999998,,,,,,,
cmp_00053,img_67f28e4f768d202c,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9981607199,0.9973084331,0.000919640050000003,0.00269156690000005,0.00180560347500003,,,,,,,
cmp_00054,img_68a0a31a26b5879d,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9997523427,0.9997349381,0.000123828649999991,0.000265061899999974,0.000194445274999983,,,,,,,
cmp_00055,img_6d6102325713ee05,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9988510609,0.997148633,0.000574469550000012,0.00285136699999999,0.001712918275,,,,,,,
cmp_00056,img_7177fecb25c8f470,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9993487,0.9992406368,0.000325650000000011,0.000759363200000029,0.00054250660000002,,,,,,,
cmp_00057,img_7549b170f48ce173,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9987195134,0.997428894,0.00064024330000001,0.00257110599999999,0.00160567465,,,,,,,
cmp_00058,img_7ae2c9b6c6e17d38,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9988154173,0.9983016253,0.000592291349999996,0.0016983747,0.001145333025,,,,,,,
