evaluation_configuration,n,mean_edi,median_edi,mean_correlation_drift,mean_structural_drift
APTOS,5760,0.2728686357242838,0.2297340346375,0.17554364869207464,0.37019362275649303
BreakHis,5760,0.35658722528948944,0.390585752334648,0.22024153723352405,0.49293291334545486
COVIDx,5760,0.3752697681858875,0.400116357995681,0.24176628197026268,0.5087732544015123
Combined,5760,0.41546079228812993,0.43853909730914453,0.26468853386314767,0.5662330507131123
HAM10000,5760,0.3759534602141989,0.353545896941949,0.2393582357645455,0.5125486846638523
ISIC 2019,5760,0.3841901205964835,0.4234692873125355,0.24423112138651473,0.5241491198064522
NIH ChestXray14,5760,0.38758375389311517,0.419335771175,0.2507555823280139,0.5244119254582164
SIPaKMeD,5760,0.325493273051862,0.3367190296,0.20380195364705728,0.44718459245666664
