attribution_method,n,mean_edi,median_edi,mean_correlation_drift,mean_structural_drift
eigencam,7680,0.08009787526637445,0.0055254250764846,0.04691976942651715,0.11327598110623176
gradcam,7680,0.5408791707688594,0.551528978931315,0.34430059078312975,0.737457750754589
gradcampp,7680,0.6960587166426292,0.74124761685,0.46075706346872813,0.9313603698165304
ig,7680,0.39253869473385133,0.412435408466055,0.25096867746013046,0.5341087120075723
scorecam,7680,0.02662119611664671,0.005359002624999901,0.014752526124926137,0.03848986610836728
shap,7680,0.43385961840422654,0.44075511991250005,0.26259154390042366,0.6051276929080294
