formulation,mean,median,std
edi_primary,0.3616758786554313,0.3711193377215276,0.309529522708732
edi_structural_weighted,0.42748963705282567,0.44362305869677965,0.35963338767728975
edi_correlation_weighted,0.29586212025803693,0.29595757823125,0.2604691873150246
edi_geometric,0.3346655816450759,0.3369310178595224,0.2935379083807644
edi_maximum,0.4933203341800795,0.515073461947481,0.41039446460933643
edi_rms,0.3861067466065052,0.3997256622111133,0.3255640797073909
edi_zero_clipped_ssim,0.34987998850223545,0.3711193377215276,0.2860579286958474
edi_symmetric_ssim,0.2383500297928763,0.24076941525986378,0.2075041326865534
