preprocessing_condition,n,mean_edi,median_edi,mean_correlation_drift,mean_structural_drift
diffusion,7680,0.37519433754368664,0.3810936960422585,0.2403029521066275,0.5100857229807458
dl_preprocess,7680,0.38947160456073754,0.4161830325228225,0.2501152812563542,0.5288279278651209
dullrazor,7680,0.3568689147834928,0.3558664898347955,0.2268669850997999,0.48687084446718565
hdbmie,7680,0.36792304011929716,0.381439560861881,0.2339515140007683,0.501894566237826
navier_stokes,7680,0.3410090880783237,0.3433179705863795,0.2150108352753693,0.467007340881278
telea,7680,0.3395882868470499,0.33799514662499996,0.2140426034249362,0.4651339702691636
