resolution,n,mean_edi,median_edi,mean_correlation_drift,mean_structural_drift
128,11520,0.3757649992332312,0.39558970735264054,0.23685690563199707,0.5146730928344654
160,11520,0.3598194635148461,0.37237881611430546,0.22997361425102372,0.4896653127786685
192,11520,0.3593544454136814,0.36910435537255504,0.22684658134812286,0.49186230947923987
224,11520,0.35176460645996643,0.348942918858347,0.22651634621142655,0.4770128667085063
