cohort,condition,attribution_method,baseline_training,condition_training,input_only,total_pipeline,input_to_baseline_training_ratio,total_to_baseline_training_ratio,residual_total_minus_input
complete,dullrazor,gradcam,0.07776963665546956,0.04944941536516733,0.2989205610761223,0.26780336993757936,3.843666679328624,3.44354662635221,-0.031117191138542943
complete,dullrazor,gradcampp,0.7022583866306576,0.6561837986990543,0.7316265945972165,0.7041133657478896,1.0418196614318322,1.0026414481514874,-0.027513228849326832
complete,telea,gradcam,0.07776963665546956,0.05429038876060317,0.35432655210207015,0.28325237550287624,4.5561039930247675,3.6421974910044157,-0.0710741765991939
complete,telea,gradcampp,0.7022583866306576,0.7301814030394231,0.6786298371242466,0.7091438248163527,0.9663534819145733,1.0098047076642693,0.030513987692106115
conventional_only,dullrazor,gradcam,0.06995603199705937,0.04547622047061941,0.29155768703021945,0.1649573572578367,4.1677276241521986,2.3580147779789846,-0.12660032977238275
conventional_only,dullrazor,gradcampp,0.7098165703350441,0.6757244674590472,0.7343655840959498,0.7031179377122256,1.0345850108138757,0.9905628680665252,-0.031247646383724126
conventional_only,telea,gradcam,0.06995603199705937,0.047816740709758415,0.3109853838260376,0.18135376052209315,4.445440585296633,2.5923963287356897,-0.12963162330394443
conventional_only,telea,gradcampp,0.7229428457778302,0.7211403416926567,0.6255850697433722,0.6839867223095352,0.8653312961003043,0.9461145183249151,0.05840165256616292
